,title,artist,release,metascore,userscore
69,Cocoa Sugar,by Young Fathers,"March 9, 2018",87,8.7
70,How I Got Over,by The Roots,"June 22, 2010",86,8.7
71,God's Son,by Nas,"December 17, 2002",81,8.7
72,Only Built 4 Cuban Linx... Pt. II,by Raekwon,"September 8, 2009",88,8.7
73,God Loves Ugly,by Atmosphere,"June 11, 2002",76,8.7
74,XXX,by Danny Brown,"August 15, 2011",83,8.7
75,Fishscale,by Ghostface Killah,"March 28, 2006",88,8.7
76,Ephorize,by CupcakKe,"January 5, 2018",84,8.7
77,Control System,by Ab-Soul,"May 11, 2012",83,8.7
78,Distant Relatives,by Nas And Damian Marley,"May 18, 2010",73,8.7
79,Game Theory,by The Roots,"August 29, 2006",83,8.7
80,Paper Trail,by T.I.,"September 30, 2008",74,8.7
81,The Ecstatic,by Mos Def,"June 9, 2009",81,8.7
82,The Renaissance,by Q-Tip,"November 4, 2008",82,8.7
83,I'll Sleep When You're Dead,by El-P,"March 20, 2007",80,8.7
84,"When Life Gives You Lemons, You Paint That Shit Gold",by Atmosphere,"April 22, 2008",68,8.7
85,Chicken & Beer,by Ludacris,"October 7, 2003",75,8.7
86,In Search Of... [First Version],by N.E.R.D,"August 6, 2001",92,8.7
87,Labor Days,by Aesop Rock,"September 18, 2001",92,8.7
88,Ultimate Victory,by Chamillionaire,"September 18, 2007",71,8.7
89,Beauty And The Beat,by Edan,"March 29, 2005",85,8.7
90,Rising Down,by The Roots,"April 29, 2008",80,8.7
91,The Recession,by Young Jeezy,"September 2, 2008",72,8.7
92,Elephant Eyelash,by Why?,"October 4, 2005",76,8.7
93,Power In Numbers,by Jurassic 5,"October 8, 2002",76,8.7
94,Legends Never Die,by R.A. the Rugged Man,"April 30, 2013",84,8.7
95,Born Like This,by DOOM,"March 24, 2009",77,8.7
96,Murs 3:16 The 9th Edition,by Murs,"March 23, 2004",85,8.7
97,You Can't Imagine How Much Fun We're Having,by Atmosphere,"October 4, 2005",77,8.7
98,Birth Of A Prince,by The RZA,"October 7, 2003",62,8.7
99,More Fish,by Ghostface Killah,"December 12, 2006",77,8.7
100,"Fast Cars, Danger, Fire And Knives [EP]",by Aesop Rock,"February 22, 2005",69,8.7
101,Desire,by Pharoahe Monch,"June 26, 2007",79,8.7
102,Raw Footage,by Ice Cube,"August 19, 2008",67,8.7
103,Panic Prevention,by Jamie T,"August 28, 2007",71,8.7
104,The Bake Sale [EP],by The Cool Kids,"June 3, 2008",78,8.7
105,UGK 4 Life,by UGK,"March 31, 2009",84,8.7
106,Blakroc,by Blakroc,"November 27, 2009",72,8.7
107,Brooklynati,by Tanya Morgan,"May 19, 2009",79,8.7
108,Jay Stay Paid,by J Dilla aka Jay Dee,"June 2, 2009",81,8.7
109,The Infamous Mobb Deep,by Mobb Deep,"April 1, 2014",70,8.7
110,1977,by Terius Nash,"August 31, 2011",66,8.7
111,Afterparty Babies,by Cadence Weapon,"March 4, 2008",73,8.7
112,Good to Be Home,by Blu,"May 19, 2014",73,8.7
113,85 to Africa,by Jidenna,"August 23, 2019",70,8.7
114,Kids See Ghosts,by Kids See Ghosts,"June 8, 2018",84,8.6
115,Rodeo,by Travis Scott,"September 4, 2015",64,8.6
116,Trench,by Twenty One Pilots,"October 5, 2018",81,8.6
117,Malibu,by Anderson .Paak,"January 15, 2016",85,8.6
118,Kala,by M.I.A.,"August 21, 2007",87,8.6
119,Summertime '06,by Vince Staples,"June 30, 2015",87,8.6
120,Saturation III,by BROCKHAMPTON,"December 15, 2017",82,8.6
121,Run the Jewels,by El-P,"June 26, 2013",86,8.6
122,Piñata,by Madlib,"March 18, 2014",82,8.6
123,Bottomless Pit,by Death Grips,"May 6, 2016",80,8.6
124,Bandana,by Freddie Gibbs,"June 28, 2019",88,8.6
125,Life is Good,by Nas,"July 17, 2012",81,8.6
126,No Love Deep Web,by Death Grips,"November 19, 2013",76,8.6
127,The Powers That B,by Death Grips,"March 31, 2015",73,8.6
128,The Documentary,by The Game,"January 18, 2005",72,8.6
129,Donuts,by J Dilla aka Jay Dee,"February 7, 2006",84,8.6
130,The Lost Tapes,by Nas,"September 24, 2002",81,8.6
131,Doctor's Advocate,by The Game,"November 14, 2006",73,8.6
132,Alfredo,by Freddie Gibbs,"May 29, 2020",88,8.6
133,Miss E... So Addictive,by Missy Elliott,"May 15, 2001",89,8.6
134,Until The End Of Time,by 2Pac,"March 27, 2001",51,8.6
135,DiCaprio 2,by J.I.D,"November 26, 2018",80,8.6
136,The Impossible Kid,by Aesop Rock,"April 29, 2016",85,8.6
137,The Mouse And The Mask,by DangerDoom,"October 11, 2005",81,8.6
138,Phrenology,by The Roots,"November 26, 2002",87,8.6
139,None Shall Pass,by Aesop Rock,"August 28, 2007",74,8.6
140,4eva N A Day,by Big K.R.I.T.,"March 5, 2012",78,8.6
141,The Singles Collection 2001-2011,by Gorillaz,"November 29, 2011",76,8.6
142,Alopecia,by Why?,"March 11, 2008",76,8.6
143,Cee-Lo Green Is The Soul Machine,by Cee Lo Green,"March 2, 2004",86,8.6
144,For Hero: For Fool,by Subtle,"October 3, 2006",85,8.6
145,Ear Drum,by Talib Kweli,"August 21, 2007",73,8.6
146,A Healthy Distrust,by Sage Francis,"February 8, 2005",78,8.6
147,The Further Adventures Of Lord Quas,by Quasimoto,"May 3, 2005",79,8.6
148,Eden,by CupcakKe,"November 9, 2018",77,8.6
149,Dark Comedy,by Open Mike Eagle,"June 10, 2014",73,8.6
150,Big GRRRL Small World,by Lizzo,"December 11, 2015",79,8.6
151,This Is My Demo,by Sway,"February 6, 2006",81,8.6
152,Atlantis: Hymns For Disco,by k-os,"February 20, 2007",70,8.6
153,Digi Snacks,by The RZA,"June 24, 2008",65,8.6
154,I'm New Here,by Gil Scott-Heron,"February 9, 2010",78,8.6
155,Covert Coup,by Curren$y,"April 20, 2011",80,8.6
156,Yessir Whatever,by Quasimoto,"June 18, 2013",69,8.6
157,Tronic,by Black Milk,"October 28, 2008",84,8.6
158,Never Better,by P.O.S.,"February 3, 2009",75,8.6
159,Imperius Rex,by Sean Price,"August 25, 2017",87,8.6
160,Pro Tools,by GZA,"August 19, 2008",76,8.6
161,Kamaal The Abstract,by Q-Tip,"September 15, 2009",78,8.6
162,Tape One [EP],by Young Fathers,"January 22, 2013",82,8.6
163,A Curious Tale of Trials & Persons,by Little Simz,"September 18, 2015",80,8.6
164,Murray's Revenge,by Murs,"March 21, 2006",79,8.6
165,Ten,by cLOUDDEAD,"March 16, 2004",74,8.6
166,TSOL,by Shad,"October 5, 2010",81,8.6
167,Li(f)e,by Sage Francis,"May 11, 2010",68,8.6
168,Art Official Intelligence (Mosaic Thump),by De La Soul,"August 8, 2000",75,8.6
169,Distortion,by REV RUN,"October 18, 2005",61,8.6
170,Two Fingers,by Two Fingers,"April 14, 2009",69,8.6
171,Marci Beaucoup,by Roc Marciano,"December 10, 2013",77,8.6
172,Radio Silence,by Talib Kweli,"November 17, 2017",78,8.6
173,Music To Be Murdered By,by Eminem,"January 17, 2020",64,8.5
174,The Marshall Mathers LP 2,by Eminem,"November 5, 2013",72,8.5
175,In My Defense,by Iggy Azalea,"August 2, 2019",39,8.5
176,Broke With Expensive Taste,by Azealia Banks,"November 6, 2014",77,8.5
177,DAYTONA,by Pusha T,"May 25, 2018",86,8.5
178,"""Awaken, My Love!""",by Childish Gambino,"December 2, 2016",77,8.5
179,Because the Internet,by Childish Gambino,"December 10, 2013",64,8.5
180,Under Pressure,by Logic,"October 21, 2014",72,8.5
181,Get Rich Or Die Tryin',by 50 Cent,"February 6, 2003",73,8.5
182,Tetsuo & Youth,by Lupe Fiasco,"January 20, 2015",80,8.5
183,"Man on the Moon, Vol. 3: The Chosen",by Kid Cudi,"December 11, 2020",71,8.5
184,Untitled,by Nas,"July 15, 2008",71,8.5
185,Still Brazy,by YG,"June 17, 2016",83,8.5
186,Cilvia: Demo [EP],by Isaiah Rashad,"January 28, 2014",82,8.5
187,R.A.P. Music,by Killer Mike,"May 15, 2012",85,8.5
188,niggas on the moon,by Death Grips,"June 8, 2014",70,8.5
189,Cancer4Cure,by El-P,"May 22, 2012",84,8.5
190,The Lost Tapes II,by Nas,"July 19, 2019",58,8.5
191,Everything's Fine,by Jean Grae,"April 27, 2018",84,8.5
192,King's Disease,by Nas,"August 21, 2020",72,8.5
193,In Search Of... [Second Version],by N.E.R.D,"March 12, 2002",83,8.5
194,Twelve Reasons to Die,by Ghostface Killah,"April 16, 2013",78,8.5
195,The Cookbook,by Missy Elliott,"July 5, 2005",74,8.5
196,Word Of Mouf,by Ludacris,"November 27, 2001",67,8.5
197,Cheers,by Obie Trice,"September 23, 2003",73,8.5
198,So It Goes,by Ratking,"April 8, 2014",78,8.5
199,Electric Circus,by Common,"December 10, 2002",80,8.5
200,Iron Flag,by Wu-Tang Clan,"December 18, 2001",69,8.5
201,Back To The Woods,by Angel Haze,"September 14, 2015",82,8.5
202,This Right Here Is Buck 65,by Buck 65,"January 25, 2005",85,8.5
203,Tape Two,by Young Fathers,"June 11, 2013",84,8.5
204,I Am the West,by Ice Cube,"September 28, 2010",62,8.5
205,Awfully Deep,by Roots Manuva,"April 19, 2005",80,8.5
206,Hokey Fright,by The Uncluded,"May 7, 2013",79,8.5
207,P.T.S.D.: Post Traumatic Stress Disorder,by Pharoahe Monch,"April 15, 2014",78,8.5
208,Eve-Olution,by Eve,"August 27, 2002",68,8.5
209,A Long Hot Summer,by Masta Ace,"August 3, 2004",78,8.5
210,Philadelphia Freeway,by Freeway,"February 25, 2003",74,8.5
211,Godfather Buried Alive,by Shyne,"August 10, 2004",54,8.5
212,JP3,by JunglePussy,"May 11, 2018",83,8.5
213,Deliverance,by Bubba Sparxxx,"September 16, 2003",82,8.5
214,Home Sweet Home,by Kano,"June 27, 2005",82,8.5
215,Emeritus,by Scarface,"December 2, 2008",85,8.5
216,Pilot Talk II,by Curren$y,"November 22, 2010",79,8.5
217,Stereo Typical,by Rizzle Kicks,"November 1, 2011",70,8.5
218,Rosebudd's Revenge,by Roc Marciano,"February 21, 2017",83,8.5
219,Weareallgoingtoburninhellmegamixxx3,by El-P,"August 3, 2010",75,8.5
220,Diaspora,by GoldLink,"June 12, 2019",82,8.5
221,Ghetto Postage,by Master P,"November 28, 2000",57,8.5
222,AOI: Bionix,by De La Soul,"December 4, 2001",77,8.5
223,Venomous Villain [VV:2],by Viktor Vaughn,"August 3, 2004",71,8.5
224,Pick A Bigger Weapon,by The Coup,"April 25, 2006",78,8.5
225,The Stimulus Package,by Freeway & Jake One,"February 16, 2010",78,8.5
226,Made in the Manor,by Kano,"March 4, 2016",67,8.5
227,Guns,by Quelle Chris,"March 29, 2019",81,8.5
228,Ruff Draft [Reissue],by J Dilla aka Jay Dee,"March 20, 2007",81,8.5
229,Everybody Down,by Kate Tempest,"May 20, 2014",77,8.5
230,The Book of David,by DJ Quik,"April 19, 2011",79,8.5
231,Revolverlution,by Public Enemy,"July 23, 2002",65,8.5
232,And I Love H.E.R.: Original Motion Picture Soundtrack,by Danny,"June 24, 2008",81,8.5
233,Are You Gonna Eat That?,by Hail Mary Mallon,"June 7, 2011",76,8.5
234,4everevolution,by Roots Manuva,"October 25, 2011",75,8.5
235,DAMN.,by Kendrick Lamar,"April 14, 2017",95,8.4
236,Late Registration,by Kanye West,"August 30, 2005",85,8.4
237,Section.80,by Kendrick Lamar,"July 2, 2011",80,8.4
238,Hell: The Sequel EP,by Bad Meets Evil,"June 14, 2011",72,8.4
239,Some Rap Songs,by Earl Sweatshirt,"November 30, 2018",86,8.4
240,Arular,by M.I.A.,"March 22, 2005",88,8.4
241,Blank Face LP,by ScHoolboy Q,"July 8, 2016",81,8.4
242,Room 25,by Noname,"September 14, 2018",93,8.4
243,Doris,by Earl Sweatshirt,"August 20, 2013",82,8.4
244,American Gangster,by Jay-Z,"November 6, 2007",83,8.4
245,Swimming,by Mac Miller,"August 3, 2018",78,8.4
246,Old,by Danny Brown,"October 8, 2013",83,8.4
247,"Passion, Pain & Demon Slayin'",by Kid Cudi,"December 28, 2016",70,8.4
248,Live Love A$AP,by A$AP Rocky,"October 31, 2011",83,8.4
249,Street's Disciple,by Nas,"November 30, 2004",80,8.4
250,St. Elsewhere,by Gnarls Barkley,"May 9, 2006",81,8.4
251,Painted Ruins,by Grizzly Bear,"August 18, 2017",82,8.4
252,Finding Forever,by Common,"July 31, 2007",73,8.4
253,CLPPNG,by clipping.,"June 10, 2014",73,8.4
254,King,by T.I.,"March 28, 2006",77,8.4
255,La Bella Mafia,by Lil' Kim,"March 4, 2003",65,8.4
256,The Allegory,"by Royce da 5'9""","February 21, 2020",79,8.4
257,Everything's For Sale,by Boogie,"January 25, 2019",82,8.4
258,Fever,by Megan Thee Stallion,"May 17, 2019",81,8.4
259,8 Diagrams,by Wu-Tang Clan,"December 11, 2007",73,8.4
260,Book of Ryan,"by Royce da 5'9""","May 4, 2018",84,8.4
261,Eat at Whitey's ,by Everlast,"October 17, 2000",67,8.4
262,Ill Manors,by Plan B,"August 21, 2012",83,8.4
263,Seeing Sounds,by N.E.R.D,"June 10, 2008",64,8.4
264,Street Dreams,by Fabolous,"March 4, 2003",51,8.4
265,Yesterday's Gone,by Loyle Carner,"January 20, 2017",84,8.4
266,Scorpion,by Eve,"March 6, 2001",70,8.4
267,Buck The World,by Young Buck,"March 27, 2007",70,8.4
268,The Big Doe Rehab,by Ghostface Killah,"December 4, 2007",77,8.4
269,"Not Waving, But Drowning",by Loyle Carner,"April 19, 2019",70,8.4
270,Purple Haze,by Cam'ron,"December 7, 2004",72,8.4
271,Fetti [EP],by Curren$y,"October 31, 2018",86,8.4
272,The Last Kiss,by Jadakiss,"April 7, 2009",61,8.4
273,Red Gone Wild: Thee Album,by Redman,"March 27, 2007",79,8.4
274,Bad Neighbor,by MED,"October 30, 2015",81,8.4
275,Stillness In Wonderland,by Little Simz,"December 16, 2016",84,8.4
276,Bleeds,by Roots Manuva,"October 30, 2015",80,8.4
277,M.A.D.E.,by Scarface,"December 4, 2007",80,8.4
278,African Giant,by Burna Boy,"July 26, 2019",80,8.4
279,The Ownerz,by Gang Starr,"June 24, 2003",70,8.4
280,The Goat,by Polo G,"May 15, 2020",83,8.4
281,Grime MC,by JME,"December 27, 2019",84,8.4
282,This Week,by Jean Grae,"September 21, 2004",79,8.4
283,Album of the Year,by Black Milk,"September 14, 2010",79,8.4
284,Timez Are Weird These Days,by Theophilus London,"July 19, 2011",61,8.4
285,No Kings,by Doomtree,"November 22, 2011",80,8.4
286,Exiting Arm,by Subtle,"June 3, 2008",75,8.4
287,Sorry To Bother You,by The Coup,"October 30, 2012",80,8.4
288,My Beautiful Dark Twisted Fantasy,by Kanye West,"November 22, 2010",94,8.3
289,Recovery,by Eminem,"June 22, 2010",63,8.3
290,College Dropout,by Kanye West,"February 10, 2004",87,8.3
291,untitled unmastered.,by Kendrick Lamar,"March 4, 2016",86,8.3
292,Coloring Book [Mixtape],by Chance the Rapper,"May 13, 2016",89,8.3
293,2014 Forest Hills Drive,by J. Cole,"December 9, 2014",67,8.3
294,Blurryface,by Twenty One Pilots,"May 19, 2015",80,8.3
295,Big Fish Theory,by Vince Staples,"June 23, 2017",89,8.3
296,Wolf,"by Tyler, The Creator","April 2, 2013",70,8.3
297,Compton,by Dr. Dre,"August 7, 2015",82,8.3
298,"Man on the Moon, Vol. 2: The Legend of Mr. Rager",by Kid Cudi,"November 9, 2010",69,8.3
299,I Don't Like Shit: I Don't Go Outside,by Earl Sweatshirt,"March 23, 2015",81,8.3
300,Hell Hath No Fury,by Clipse,"November 28, 2006",89,8.3
301,Grey Area,by Little Simz,"March 1, 2019",91,8.3
302,King Push - Darkest Before Dawn: The Prelude,by Pusha T,"December 18, 2015",85,8.3
303,Wildflower,by The Avalanches,"July 8, 2016",83,8.3
304,GO:OD AM,by Mac Miller,"September 18, 2015",71,8.3
305,The Sun's Tirade,by Isaiah Rashad,"September 2, 2016",80,8.3
306,Elephunk,by The Black Eyed Peas,"June 24, 2003",66,8.3
307,Prima Donna [EP],by Vince Staples,"August 26, 2016",83,8.3
308,Drogas Wave,by Lupe Fiasco,"September 21, 2018",73,8.3
309,uknowhatimsayin¿,by Danny Brown,"October 4, 2019",83,8.3
310,Hell Can Wait [EP],by Vince Staples,"November 10, 2014",80,8.3
311,Black Up,by Shabazz Palaces,"June 28, 2011",83,8.3
312,Skelethon,by Aesop Rock,"July 10, 2012",79,8.3
313,All 6's and 7's,by Tech N9ne,"June 7, 2011",81,8.3
314,The Lost Boy,by YBN Cordae,"July 26, 2019",81,8.3
315,This Is Not A Test!,by Missy Elliott,"November 25, 2003",79,8.3
316,Lese Majesty,by Shabazz Palaces,"July 29, 2014",81,8.3
317,The Greatest Story Never Told,by Saigon,"February 15, 2011",89,8.3
318,Attention Deficit,by Wale,"November 10, 2009",77,8.3
319,Second Round's On Me,by Obie Trice,"August 15, 2006",48,8.3
320,Detroit 2,by Big Sean,"September 4, 2020",71,8.3
321,The Undisputed Truth,by Brother Ali,"April 10, 2007",74,8.3
322,Theater Of The Mind,by Ludacris,"November 25, 2008",68,8.3
323,Pilot Talk,by Curren$y,"July 13, 2010",77,8.3
324,Visions of Bodies Being Burned,by clipping.,"October 23, 2020",79,8.3
325,The Pretty Toney Album,by Ghostface Killah,"April 20, 2004",84,8.3
326,All Day,by Girl Talk,"November 15, 2010",79,8.3
327,BlackenedWhite,by MellowHype,"July 12, 2011",72,8.3
328,Back to Love,by Anthony Hamilton,"December 13, 2011",82,8.3
329,Stay Human,by Michael Franti & Spearhead,"May 15, 2001",73,8.3
330,Depart From Me,by Cage,"July 7, 2009",69,8.3
331,Eskimo Snow,by Why?,"September 22, 2009",76,8.3
332,Go! Pop! Bang!,by Rye Rye,"May 15, 2012",70,8.3
333,Brandon Banks,by Maxo Kream,"July 18, 2019",84,8.3
334,Music By Cavelight,by Blockhead,"March 23, 2004",72,8.3
335,Padded Room,by Joe Budden,"February 24, 2009",70,8.3
336,Black and Brown!,by Danny Brown,"November 7, 2011",71,8.3
337,Mic Tyson,by Sean Price,"October 30, 2012",80,8.3
338,Evermore: The Art of Duality,by The Underachievers,"September 25, 2015",73,8.3
339,Featuring Ty Dolla $ign,by Ty Dolla $ign,"October 23, 2020",79,8.3
340,The B.Coming,by Beanie Sigel,"March 29, 2005",73,8.3
341,Ghostdini: Wizard Of Poetry,by Ghostface Killah,"September 29, 2009",68,8.3
342,Our Pathetic Age,by DJ Shadow,"November 15, 2019",69,8.3
343,Digital Bullet,by The RZA,"August 28, 2001",67,8.3
344,Carnival II: Memoirs Of An Immigrant,by Wyclef Jean,"December 4, 2007",72,8.3
345,By The Throat,by Eyedea & Abilities,"July 21, 2009",76,8.3
346,H.F.M. 2 (The Hunger for More 2),by Lloyd Banks,"November 22, 2010",64,8.3
347,Random Axe,by Random Axe,"June 14, 2011",80,8.3
348,I Phantom,by Mr. Lif,"September 17, 2002",81,8.3
349,No Said Date,by Masta Killa,"June 1, 2004",86,8.3
350,Trill O.G.,by Bun B,"August 3, 2010",57,8.3
351,Edna,by Headie One,"October 9, 2020",87,8.3
352,"The Darkside, Vol. 1",by Fat Joe,"July 27, 2010",70,8.3
353,Dust,by Muggs,"March 11, 2003",67,8.3
354,Taste The Secret,by Ugly Duckling,"June 17, 2003",72,8.3
355,Beat Konducta Vol. 1-2: Movie Scenes,by Madlib,"March 21, 2006",75,8.3
356,Rainforest,by Clams Casino,"July 5, 2011",75,8.3
357,Str8 Killa [EP],by Freddie Gibbs,"August 3, 2010",76,8.3
358,Reconstructed: The Best of DJ Shadow,by DJ Shadow,"September 25, 2012",79,8.3
359,Anicca,by Teebs,"October 25, 2019",84,8.3
360,Kamikaze,by Eminem,"August 31, 2018",62,8.2
361,Relapse,by Eminem,"May 19, 2009",59,8.2
362,At.Long.Last.A$AP,by A$AP Rocky,"May 26, 2015",76,8.2
363,Oxymoron,by ScHoolboy Q,"February 25, 2014",78,8.2
364,My Name Is My Name,by Pusha T,"October 7, 2013",81,8.2
365,Die Lit,by Playboi Carti,"May 11, 2018",71,8.2
366,Surf,by Donnie Trumpet & The Social Experiment,"May 29, 2015",86,8.2
367,The  Divine Feminine,by Mac Miller,"September 16, 2016",70,8.2
368,My Krazy Life,by YG,"March 18, 2014",80,8.2
369,4eva Is a Mighty Long Time,by Big K.R.I.T.,"October 27, 2017",80,8.2
370,Habits & Contradictions,by ScHoolboy Q,"January 14, 2012",78,8.2
371,"Hot Sauce Committee, Pt. 2",by Beastie Boys,"May 3, 2011",83,8.2
372,Tickets to My Downfall,by Machine Gun Kelly,"September 25, 2020",72,8.2
373,Shadow of a Doubt,by Freddie Gibbs,"November 20, 2015",78,8.2
374,Islah,by Kevin Gates,"January 29, 2016",81,8.2
375,Laila’s Wisdom,by Rapsody,"September 22, 2017",87,8.2
376,The Grey Album,by Danger Mouse,"February 3, 2004",79,8.2
377,Something Else,by Tech N9ne,"July 30, 2013",85,8.2
378,Under Construction,by Missy Elliott,"November 12, 2002",81,8.2
379,"The ""W""",by Wu-Tang Clan,"November 21, 2000",80,8.2
380,The Odd Couple,by Gnarls Barkley,"March 18, 2008",76,8.2
381,We're New Here,by Gil Scott-Heron,"February 22, 2011",83,8.2
382,Slime Season [Mixtape],by Young Thug,"September 16, 2015",80,8.2
383,Seven's Travels,by Atmosphere,"September 23, 2003",72,8.2
384,Showtime,by Dizzee Rascal,"September 14, 2004",87,8.2
385,Brick Body Kids Still Daydream,by Open Mike Eagle,"September 15, 2017",82,8.2
386,II Trill,by Bun B,"May 20, 2008",82,8.2
387,1992 Deluxe,by Princess Nokia,"September 8, 2017",77,8.2
388,Ignorance Is Bliss,by Skepta,"May 31, 2019",79,8.2
389,Testimony,by August Alsina,"April 15, 2014",79,8.2
390,Cashmere,by Swet Shop Boys,"October 14, 2016",80,8.2
391,The Saga Continues,by Wu-Tang,"October 13, 2017",64,8.2
392,Maths + English,by Dizzee Rascal,"June 5, 2007",78,8.2
393,Loso's Way,by Fabolous,"July 28, 2009",66,8.2
394,Stone Rollin',by Raphael Saadiq,"May 10, 2011",86,8.2
395,Reservation [Mixtape],by Angel Haze,"July 17, 2012",88,8.2
396,The Hunger Games: Songs from District 12 and Beyond,by Original Soundtrack,"March 20, 2012",72,8.2
397,Return Of Dragon,by Sisqó,"June 19, 2001",61,8.2
398,Supreme Blientele,by Westside Gunn,"June 22, 2018",69,8.2
399,Crime Pays,by Cam'ron,"May 12, 2009",68,8.2
400,Czarface,by Inspectah Deck,"February 19, 2013",77,8.2
401,"Imani, Vol. 1",by Blackalicious,"September 18, 2015",76,8.2
402,Black Radio,by Robert Glasper,"February 28, 2012",74,8.2
403,Right About Now,by Talib Kweli,"November 22, 2005",68,8.2
404,The Ecology,by Fashawn,"February 24, 2015",84,8.2
405,Party Music,by The Coup,"November 6, 2001",85,8.2
406,Everyone Deserves Music,by Michael Franti & Spearhead,"August 19, 2003",71,8.2
407,Peanut Butter Blues and Melancholy Jam,by Ghostpoet,"February 7, 2011",78,8.2
